Samples,48-53,35,92,93,94,95,96,97,101,102,103,104.2,105,107,142,162,169,170,171,172,173,174
weight of samples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Group,Control,ADFull,Control,Treatment,Control,Control,Treatment,Treatment,Control,Treatment,Control,Control,Treatment,ADFull,ADFull,ADFull,Control,Treatment,Control,Control,Treatment,Treatment
Sorbitol-ISTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-2206.3_Tryptophan,L- [2TMS]",-1.855341976,-3.617174942,-3.44407077,-1.498668069,-3.072786637,-1.352857393,-1.378883165,-1.521411556,-3.699709034,-1.331615344,-2.852748476,-1.32972656,-1.049684739,-3.756024252,-3.577441611,-2.896411689,-3.378868768,-1.310745806,-3.368748152,-1.352687191,-0.869799921,-1.146268067
"12-1525_Aspartic acid, DL- [3TMS]",-2.774118276,-1.400916382,-1.353979864,-2.279436294,-2.291555232,-1.864845347,-2.333002484,-1.967444903,-2.967048471,-3.258020989,-3.409169815,-1.429586159,-1.805446161,-1.755270188,-1.202636501,-0.982377018,-3.053903743,-2.244173346,-2.427203497,-2.285945808,-2.002200126,-2.24552707
"13-1577.5_Benzoic acid,3-hydroxy- [2TMS]",-2.549674848,-3.84350583,-3.091811297,-2.472220671,-3.271710455,-2.040865739,-2.440560856,-2.619629361,-3.104281753,-2.108432236,-2.83304497,-2.398512638,-2.059808468,-3.748802258,-3.632751064,-3.621138975,-3.126587833,-2.044476067,-3.167598441,-2.548045886,-2.016411818,-2.14751309
14-1630.9_Anthranilic acid [2TMS],-3.143070278,-3.425600627,-3.238848269,-2.455741397,-3.298058959,-3.136773781,-1.305708492,-1.355099831,-3.208946756,-2.840315061,-3.28725967,-3.116768776,-1.76662294,-3.295433482,-3.425699349,-3.306973054,-3.170438759,-2.875901058,-3.347968498,-3.155807961,-1.384124951,-2.588998209
"15-1631.4_Glutamic acid,DL- [3TMS]",-1.16703027,-0.833100497,-0.848328057,-2.581079589,-1.502955756,-0.836327434,-2.712912401,-2.083671805,-1.5932337,-1.581862761,-2.306756871,-0.898509461,-1.372280707,-1.089783159,-0.777294572,-0.647357516,-1.565745954,-1.015554053,-1.69986221,-1.331103119,-1.771176637,-2.07598137
"16-1635_Valeric acid,5-amino- [3TMS]",-2.25636379,-2.240085889,-2.178324127,-0.185413423,-2.111387184,-2.213282274,-0.091741979,0.293638246,-2.211190713,-2.19423069,-2.19783242,-2.076946861,-1.625539088,-1.976100167,-2.220324213,-2.140984854,-2.174681375,-1.91864254,-1.667486574,-2.138123,-1.495424719,-1.455152137
"17-1639.5_Benzoic acid, 4-hydroxy- [2TMS]",-2.619271691,-2.760846035,-2.65678095,-1.832516552,-2.713909098,-2.475444741,-1.702516534,-2.126081604,-2.617191735,-2.050044455,-2.431269304,-2.491170128,-2.141310583,-2.738857254,-2.809316302,-2.603612698,-2.696331706,-2.318419159,-2.741197492,-2.564199345,-1.95478629,-2.12054678
18-1710.8_Suberic acid [2TMS],-3.589840013,-3.523763293,-3.657572942,-2.809466703,-3.387630467,-3.65378248,-2.811746011,-2.79144573,-3.830694594,-3.52369228,-3.551463936,-3.656109133,-2.23020893,-3.465209481,-3.360463505,-3.56718381,-3.686008995,-2.347184505,-3.660435122,-3.65844839,-2.209435976,-2.389913281
19-1774.2_Ribonic acid [5TMS],-2.985071628,-2.723281291,-2.919325872,-2.934276665,-3.014506026,-3.027482049,-2.971026145,-2.969316752,-2.880635669,-2.749726057,-2.976698156,-3.032249975,-2.679564754,-2.832052448,-2.775342168,-2.505987278,-3.214669242,-2.786493061,-3.07161193,-3.37663326,-2.315743928,-3.305166541
20-1806.4_Azelaic acid [2TMS],-3.066136931,-2.948079285,-2.896405961,-1.993229827,-2.809557203,-2.958204137,-2.020965271,-1.9976741,-3.103087381,-3.043892254,-3.046088705,-3.031765465,-1.445052201,-2.427669515,-2.769985386,-2.789637006,-3.064168482,-1.639209675,-3.08592586,-2.844900735,-1.244237743,-1.371106231
