"","ko","S561toS566_AD.AD6","S1001_3_4_AD1_3_4","S1002_5_6_AD2_5_6","S1147_49_50_AD1_3_4","S1148_51_52_AD2_5_6","S1154_57_58_AD2_5_6","F5","F55","F110","F124","F179","S119.full","S370.full","S1273.ADFull","S1554.ADFull","S1813.ADFull"
"247","ko00140",15105,13433,16524,15937,11629,15146,29452,22571,29361,27324,25929,26287,22225,27013,19873,20505
"248","ko05100",2678,1500,2165,1858,4501,2660,3686,3577,4237,4270,3966,2200,2191,2085,1978,1898
"249","ko00860",126733,119061,126183,131938,125693,115894,168716,144340,161631,161164,160574,185640,163334,186637,162414,162157
"250","ko05410",2080,2432,1558,1925,1315,1071,2585,2158,2366,2377,2628,5090,4059,4102,4148,3892
"251","ko00331",4,3,2,0,0,6,10,31,17,20,5,8,2,4,2,5
"252","ko00330",266046,246639,257120,284592,278435,265701,317437,272057,308802,303604,302679,365763,309193,358630,311099,309867
"253","ko04080",1573,1706,1576,1659,1790,2335,2003,1730,2158,1934,1869,2011,1747,2099,1558,1527
"254","ko05310",2,4,3,2,4,8,16,6,16,25,10,92,58,48,41,61
"255","ko04514",1611,1228,489,1708,2496,252,663,577,547,462,480,2354,2151,2018,1768,1628
"256","ko00908",10185,9460,8640,11426,8543,8914,6565,5939,6365,6399,6416,12077,10211,11390,10670,10765
"257","ko04930",10769,10374,10228,11668,12398,13453,11762,9726,10470,10330,10800,12304,10606,12280,10941,10703
"258","ko04320",738,670,148,923,46,37,428,313,355,421,536,375,300,350,240,255
"259","ko03430",298478,272343,245593,317121,297539,275770,206170,176602,188072,188667,185579,323684,273459,306478,281811,280639
"260","ko00906",10893,10555,10136,12621,8571,10061,17234,14646,17144,18413,18071,16403,13823,16168,13919,13672
"261","ko00900",124928,114534,106609,131477,110589,105718,116283,98210,109201,108488,109062,155118,130690,148538,134922,131725
"262","ko00901",932,932,1461,910,759,1169,3317,2556,3616,3625,3353,4163,3526,4213,3433,3949
