"","KO","S561toS566_AD.AD6","S1001_3_4_AD1_3_4","S1002_5_6_AD2_5_6","S1147_49_50_AD1_3_4","S1148_51_52_AD2_5_6","S1154_57_58_AD2_5_6","F5","F55","F110","F124","F179","S119.full","S370.full","S1273.ADFull","S1554.ADFull","S1813.ADFull"
"6949","K13626",1406,1308,970,1124,1859,1869,634,408,329,336,377,791,660,549,767,539
"6950","K13627",6,18,29,3,8,26,0,0,0,0,0,0,0,0,0,0
"6951","K13628",590,618,1175,671,533,993,2666,2381,2459,2709,2739,1298,1148,1557,1098,1110
"6952","K13629",2,2,11,0,1,11,49,63,42,54,51,0,0,0,0,0
"6953","K13631",9,9,22,6,25,41,8,19,24,25,8,56,74,35,12,46
"6954","K13633",963,901,1591,1248,1010,2834,3218,3107,3383,3323,3115,1870,1708,2232,1444,1435
"6955","K13634",278,246,684,241,346,830,1866,1988,1572,1664,1894,569,475,401,464,373
"6956","K13635",169,133,375,149,146,311,895,842,676,828,873,252,222,244,199,160
"6957","K13636",19,18,76,23,67,57,113,74,44,66,65,18,10,13,14,4
"6958","K13637",37,39,72,31,28,26,157,174,211,197,191,93,84,80,94,71
"6959","K13638",265,244,556,251,337,1999,797,682,765,613,749,389,337,335,353,335
"6960","K13639",281,216,372,280,284,417,849,756,1001,839,755,572,468,668,427,448
"6961","K13640",1315,1284,1690,1724,1003,911,1495,1042,1312,1129,1061,1510,1217,1313,1123,1170
"6962","K13641",3425,3247,3954,4045,3524,3864,5209,4235,5205,5005,5259,4858,4011,5062,4000,4244
"6963","K13642",86,95,187,116,74,139,315,312,361,343,310,153,164,190,171,119
"6964","K13643",2606,2321,3052,2596,3136,4850,3391,2822,3031,2941,3056,4127,3551,4040,3337,3211
"6965","K13646",0,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0
"6966","K13651",11,21,41,9,7,29,94,80,85,116,119,94,49,80,51,50
"6967","K13652",974,801,1207,898,1274,1098,2130,1860,1705,1789,1393,2394,2080,2663,2234,2384
"6968","K13653",3475,1599,1055,1616,6464,2433,1140,1034,1119,775,871,2092,1920,1897,2036,2050
"6969","K13654",430,426,478,619,183,273,543,543,617,575,622,580,332,571,488,534
"6970","K13655",79,84,122,59,66,93,288,209,165,177,204,125,66,103,83,97
"6971","K13656",5,4,0,0,0,0,29,21,30,16,16,6,0,2,2,0
"6972","K13657",21,33,28,42,42,35,79,93,104,116,119,134,91,106,88,102
"6973","K13658",160,136,182,176,130,174,295,236,298,295,278,196,229,249,188,191
"6974","K13659",26,13,20,8,36,4,5,6,6,8,6,17,9,11,17,15
"6975","K13660",2,6,7,8,3,3,16,13,15,8,13,0,0,0,0,0
"6976","K13661",178,185,217,230,175,200,7,6,18,16,11,114,101,113,85,60
"6977","K13662",4,6,16,5,15,9,45,33,59,56,45,40,38,37,36,22
"6978","K13663",229,281,193,287,299,202,99,107,44,109,85,140,105,126,108,99
"6979","K13664",0,0,5,0,6,14,41,51,37,56,30,27,30,18,51,22
"6980","K13665",905,1133,150,196,173,102,93,38,46,45,23,235,307,465,349,319
"6981","K13667",14,4,9,2,2,6,12,28,10,7,10,6,8,6,8,0
"6982","K13668",5627,5048,4000,5400,3218,3252,4872,4014,5172,4717,4444,9244,8415,9488,8121,8114
"6983","K13669",268,252,314,339,297,519,530,405,644,548,497,477,391,704,366,351
"6984","K13671",478,405,662,647,432,743,1405,946,1527,1422,1551,970,809,1038,677,714
"6985","K13672",10,10,24,9,14,37,14,14,15,2,6,2,6,6,2,3
"6986","K13676",2,4,12,2,44,24,37,21,8,9,6,18,1,11,2,14
"6987","K13677",33,30,122,27,54,361,249,250,337,251,274,68,76,54,84,61
"6988","K13678",279,250,278,272,676,173,178,154,123,97,118,217,213,340,370,513
"6989","K13680",17,11,44,27,21,19,130,115,194,158,215,58,43,97,50,43
"6990","K13683",130,102,166,160,122,95,179,164,51,130,105,312,262,331,341,255
"6991","K13684",203,132,143,226,294,286,14,21,14,16,20,287,172,239,243,160
"6992","K13686",430,363,461,567,400,731,570,546,863,675,610,696,547,918,492,549
"6993","K13687",1417,1317,874,1290,770,949,1736,1044,1472,1091,1103,1289,1060,1345,821,1020
"6994","K13688",9447,7100,6430,7803,16301,19482,6452,5122,6310,6411,5795,9921,8911,9192,8228,7357
"6995","K13692",4,4,6,2,6,2,0,2,0,8,0,0,0,0,0,0
"6996","K13693",1676,1447,1482,1945,1726,1610,1973,1425,1947,1719,2011,2991,2429,2764,2651,2681
"6997","K13694",2023,1179,1067,1345,1362,523,684,561,426,627,564,1121,844,998,1108,921
"6998","K13695",418,420,268,515,102,294,167,137,105,145,128,354,199,292,595,361
"6999","K13696",3,4,4,2,0,4,0,0,2,2,0,0,0,0,0,0
"7000","K13698",651,578,242,798,66,116,20,55,43,17,43,431,341,564,456,668
"7001","K13699",464,321,381,505,215,207,251,229,251,251,250,345,313,288,202,285
"7002","K13700",285,188,95,230,87,99,180,113,133,137,134,176,117,182,172,168
"7003","K13701",0,2,8,4,0,7,29,18,8,21,11,6,0,2,2,2
"7004","K13702",8,3,61,23,14,37,59,94,84,107,123,22,30,39,36,16
"7005","K13703",45,17,58,48,29,57,230,129,212,226,228,56,49,67,20,36
"7006","K13706",7,6,9,9,4,10,50,24,36,28,41,18,3,17,14,16
"7007","K13711",6,6,12,8,3,0,0,0,2,4,0,1,2,2,11,2
"7008","K13714",599,228,10,84,515,22,37,29,66,45,54,6,0,6,0,5
"7009","K13719",2,6,12,4,8,4,9,11,9,16,8,0,8,4,0,14
"7010","K13720",0,2,14,6,5,7,3,1,2,1,3,0,0,0,0,0
"7011","K13721",2,4,9,2,0,13,9,32,30,62,64,22,10,12,26,6
"7012","K13723",0,0,10,0,0,0,3,2,0,4,0,0,0,0,0,0
"7013","K13727",0,0,1,0,2,0,15,6,13,31,13,4,9,6,7,4
"7014","K13730",1545,825,885,1022,3490,2008,1825,1744,1973,1895,1881,1367,1327,1246,1098,1192
"7015","K13731",14,2,0,0,465,10,0,0,0,0,0,0,0,0,0,0
"7016","K13734",4,2,0,2,26,2,7,10,1,2,2,0,0,0,106,11
"7017","K13735",1091,612,1159,745,461,516,1518,1480,1811,1849,1583,753,790,762,708,563
"7018","K13745",152,114,499,132,180,258,951,845,973,1168,1149,531,476,463,328,508
"7019","K13746",10,27,43,23,11,18,44,20,18,32,27,38,25,22,43,58
"7020","K13747",1338,1132,1067,1450,2203,1165,986,994,835,696,702,1804,1515,2051,1997,1904
"7021","K13754",0,2,12,2,8,22,0,0,0,0,0,0,0,1,1,5
"7022","K13756",25,16,13,7,20,2,0,0,0,0,0,8,7,8,9,2
"7023","K13761",4,4,6,4,0,4,0,2,0,1,0,0,0,0,0,0
"7024","K13762",8,26,22,9,18,26,80,52,55,49,63,44,32,14,53,30
"7025","K13763",2,0,2,2,0,2,29,34,15,24,18,35,44,29,46,30
"7026","K13766",499,546,1669,580,645,1502,3797,3467,3465,3771,3796,1317,1140,1340,1071,927
"7027","K13767",145,219,148,258,69,1005,297,243,215,275,275,549,490,444,687,444
"7028","K13770",3533,2906,2224,3843,1409,3034,1556,1155,1530,1366,1182,4537,3792,3995,4246,3668
"7029","K13771",665,580,1008,684,513,1634,2095,1801,1910,1980,2056,975,1036,1194,965,917
"7030","K13772",342,382,314,367,180,269,245,206,167,202,188,713,498,517,435,477
"7031","K13774",488,484,1021,544,529,798,1608,1252,1526,1410,1533,1064,942,1133,786,836
"7032","K13775",874,837,1256,1044,841,1303,2227,2140,2587,2249,2217,1680,1428,1914,1166,1241
"7033","K13776",90,124,33,129,177,12,83,85,45,115,75,570,498,403,884,538
"7034","K13777",135,144,420,200,253,403,1053,1004,1137,1277,1330,412,373,460,385,318
"7035","K13778",177,243,544,231,206,618,1068,1140,1198,1293,1313,422,346,432,406,311
"7036","K13779",77,48,211,101,78,245,428,422,467,465,591,165,101,155,124,169
"7037","K13780",2,6,28,6,2,16,5,10,23,23,18,0,0,0,0,0
"7038","K13783",0,0,2,0,0,3,11,28,16,10,40,0,0,0,0,0
"7039","K13786",5,13,37,15,14,16,76,46,128,82,104,43,31,54,33,43
"7040","K13787",3277,3393,2269,3606,2263,1540,2076,1412,2021,1986,1813,3727,3252,3929,3485,3397
"7041","K13788",944,884,1808,1203,1109,1463,2877,2610,2885,2829,2628,1839,1882,2352,1709,1767
"7042","K13789",6945,6486,5194,7927,5636,4567,3141,2467,2704,2745,2714,8373,7018,8040,7751,7473
"7043","K13794",76,45,194,61,88,199,286,405,419,491,495,136,86,132,119,105
"7044","K13795",96,110,300,98,110,267,482,598,582,621,585,206,194,171,199,106
"7045","K13796",163,207,533,210,224,441,853,920,1029,1044,1135,336,334,417,310,276
"7046","K13797",194,235,437,193,1260,658,0,11,6,0,0,21,8,8,14,9
"7047","K13798",86,86,46,58,179,91,8,8,8,2,4,259,220,125,251,201
"7048","K13799",2,1,0,0,0,0,7,6,9,3,0,3,16,6,5,7
"7049","K13800",22,21,11,20,3,2,0,0,0,0,0,4,3,0,1,2
"7050","K13806",2,9,20,12,4,14,2,6,0,0,6,0,0,0,0,0
"7051","K13809",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"7052","K13810",2594,2226,1430,2839,658,1035,888,605,800,943,753,4010,3530,3265,3444,3264
"7053","K13812",1307,1253,414,1367,935,258,49,67,42,42,50,917,845,860,749,898
"7054","K13815",709,875,632,663,924,1065,764,655,801,718,806,1069,877,934,1193,809
"7055","K13816",15,9,103,33,18,128,311,385,346,302,395,73,59,61,42,43
"7056","K13818",9,17,37,14,24,14,24,25,50,55,47,218,204,242,207,184
"7057","K13819",574,464,444,574,280,540,437,223,152,122,187,1516,1334,1388,1484,1277
"7058","K13820",27,31,91,41,57,196,20,8,21,13,10,28,37,33,13,19
"7059","K13821",2017,2022,4467,2040,2197,4110,9034,7969,9125,8749,9086,3662,3449,3978,3442,3086
"7060","K13829",1637,1774,1517,1725,2395,855,777,600,762,869,613,1474,1254,1469,1160,1045
"7061","K13831",1098,958,462,1000,955,231,210,195,233,188,193,1287,1137,1220,1179,1272
"7062","K13832",935,1049,704,1022,428,761,515,430,551,568,580,1160,724,1000,948,1034
"7063","K13853",21,22,10,62,36,5,10,2,1,23,7,74,86,109,77,67
"7064","K13863",64,58,64,70,58,58,130,85,129,85,60,139,85,162,62,69
"7065","K13865",0,2,3,2,1,0,41,28,47,47,26,2,4,2,0,2
"7066","K13866",2,0,3,0,5,1,4,6,3,0,2,4,0,2,3,2
"7067","K13868",12,9,23,22,14,16,8,11,10,8,3,5,2,16,4,3
"7068","K13871",0,0,2,2,4,2,4,4,1,2,2,0,0,0,0,0
"7069","K13873",0,3,0,4,3,0,2,13,15,9,1,17,6,6,6,8
"7070","K13874",70,77,126,71,61,149,396,370,460,424,489,193,129,229,181,174
"7071","K13875",227,184,475,241,276,440,1420,1396,1709,1537,1803,512,456,527,526,458
"7072","K13876",73,53,101,53,59,68,267,246,292,316,317,162,108,140,134,116
"7073","K13877",141,193,240,220,114,212,1076,898,1240,1165,1089,344,317,314,278,220
"7074","K13886",0,4,6,2,10,4,26,26,26,25,19,12,4,4,0,2
"7075","K13888",2132,2167,1549,2911,1638,857,1681,1681,1754,1849,1922,2448,1908,2472,2129,2202
"7076","K13889",59,69,142,86,98,182,161,213,264,224,212,180,179,211,135,143
"7077","K13890",124,159,195,256,79,113,258,273,283,273,299,189,128,177,127,156
"7078","K13891",22,22,66,36,41,46,87,127,163,144,74,121,122,113,100,115
"7079","K13892",20,25,79,24,20,51,191,203,228,287,209,5,15,6,4,10
"7080","K13893",479,535,1250,545,623,912,2478,2760,3270,3303,3105,1941,1897,2269,1888,1839
"7081","K13894",356,336,707,446,366,619,1570,1609,1800,1974,1731,1256,1177,1250,1185,1007
"7082","K13895",297,359,735,339,334,544,1628,1660,1876,1937,1698,1326,1161,1365,1014,1122
"7083","K13896",459,455,1159,514,580,900,2093,2226,2350,2630,2425,1022,794,1191,859,854
"7084","K13912",12,14,40,39,16,34,54,68,67,53,68,338,517,623,398,450
"7085","K13915",0,4,9,2,4,5,13,3,10,18,23,6,15,11,35,8
"7086","K13918",0,0,1,4,0,0,17,19,24,7,10,0,0,0,0,0
"7087","K13919",99,99,249,185,423,165,145,73,148,91,106,85,47,87,44,90
"7088","K13920",102,68,175,116,370,201,171,136,170,164,153,45,75,80,54,70
"7089","K13921",14,20,70,33,45,49,30,40,39,25,24,47,22,30,27,32
"7090","K13922",343,294,654,552,1037,439,366,239,217,187,210,602,577,673,551,530
"7091","K13924",16501,16854,16049,16447,12415,16551,35340,32431,29140,30775,32499,25423,20452,23065,22252,20535
"7092","K13925",0,0,0,0,9,0,27,27,55,77,29,2,0,1,2,0
"7093","K13926",1290,985,2082,1231,764,2030,4045,4324,3722,4115,3870,1341,1177,1230,1190,1032
"7094","K13927",2,2,43,8,72,25,75,123,65,37,63,54,56,61,22,50
"7095","K13928",2,2,9,0,2,5,33,28,17,25,18,0,0,0,0,0
"7096","K13929",25,24,92,27,28,87,179,139,110,128,188,424,432,533,347,435
"7097","K13930",23,16,11,32,14,77,139,53,71,87,84,15,24,59,84,32
"7098","K13931",2,0,0,4,4,0,55,21,13,10,28,31,31,27,29,29
"7099","K13932",13,30,44,36,38,54,184,106,136,90,124,70,67,89,99,62
"7100","K13933",22,16,21,27,17,28,126,65,52,67,54,7,5,7,9,7
"7101","K13934",11,8,6,16,4,23,89,32,30,37,42,43,29,18,52,22
"7102","K13938",2,4,9,5,6,41,11,55,8,17,23,0,4,0,0,1
"7103","K13940",262,213,267,312,138,129,542,362,448,342,478,256,251,314,217,344
"7104","K13941",68,53,86,139,47,40,24,38,64,40,23,21,48,46,24,34
"7105","K13942",22,25,8,39,8,6,0,0,0,0,0,36,37,23,10,31
"7106","K13948",0,0,2,4,0,1,2,2,3,6,2,2,0,0,2,0
"7107","K13950",181,147,402,265,298,337,816,651,852,694,797,568,466,547,296,477
"7108","K13953",3445,3024,3146,3819,2270,2879,4398,3487,4692,4153,3791,4606,4100,4663,3589,3491
"7109","K13954",2117,1906,1797,2234,2142,1866,1188,1207,1227,1291,1202,2188,1833,1891,2221,1814
"7110","K13955",316,276,519,361,360,444,1133,846,1088,1022,1168,680,537,570,471,599
"7111","K13957",0,2,2,0,3,6,6,2,11,6,2,0,0,0,0,0
"7112","K13958",26,25,8,43,9,20,0,0,0,0,0,2,7,6,4,0
"7113","K13960",9,11,6,15,3,12,4,5,2,0,0,14,5,4,19,31
"7114","K13963",3686,3418,2327,3392,4543,2449,1276,1024,968,945,912,8377,7398,7741,6922,7455
"7115","K13964",0,1,0,3,1,4,0,0,0,0,0,0,0,0,0,0
"7116","K13965",3,0,1,6,2,1,0,0,0,0,0,0,0,0,0,0
"7117","K13967",12,19,14,6,15,8,29,40,72,62,71,12,8,13,5,9
"7118","K13979",346,396,688,488,454,632,1973,1658,2149,2170,2119,881,872,1004,732,724
"7119","K13983",13,5,39,11,13,30,32,37,61,32,40,21,19,26,29,18
"7120","K13984",0,10,0,7,0,0,0,6,3,0,2,35,14,10,21,4
"7121","K13985",1303,1287,1618,1431,883,1360,2218,1917,2342,2437,2589,2338,1945,2383,2052,1990
"7122","K13987",4,0,6,4,12,9,0,0,0,0,0,0,0,0,0,0
"7123","K13988",3,2,0,10,0,2,3,0,2,3,9,16,14,13,4,2
"7124","K13990",7640,7319,4552,9365,4056,2418,1286,1221,1308,1439,1089,8421,6918,7810,6703,7253
"7125","K13991",20,16,36,42,11,38,123,122,144,180,216,47,70,61,68,54
"7126","K13992",26,13,49,26,18,32,320,340,330,386,453,55,52,42,63,58
"7127","K13993",11523,10958,7532,12723,7904,5404,4145,3798,3955,3876,3789,11408,9773,10807,10698,10216
"7128","K13995",181,149,253,155,165,211,735,640,724,628,699,410,323,404,261,311
"7129","K13998",28,35,30,20,6,23,45,5,47,26,7,13,4,19,2,2
"7130","K14001",2,0,8,2,3,2,0,0,0,0,0,0,0,0,0,0
"7131","K14003",11,14,36,24,16,26,18,18,17,16,18,0,0,0,0,8
"7132","K14004",4,8,2,7,4,7,2,12,11,17,8,0,0,0,0,0
"7133","K14005",11,17,24,36,12,22,0,1,6,10,9,0,2,6,1,10
"7134","K14006",9,5,17,23,8,18,0,0,0,1,0,1,8,10,4,6
"7135","K14007",10,18,23,23,5,22,0,4,0,6,8,0,0,4,16,20
"7136","K14015",4,2,10,12,5,12,0,4,0,1,1,0,0,0,0,0
"7137","K14016",0,5,0,0,0,0,6,0,9,0,0,0,0,12,0,15
"7138","K14018",29,34,45,54,9,22,78,118,133,122,136,52,42,62,35,22
"7139","K14026",2,2,22,6,7,12,26,14,36,29,51,10,14,25,8,25
"7140","K14028",44,50,66,81,45,29,140,112,194,107,161,128,145,129,82,122
"7141","K14029",8,5,6,0,8,7,16,10,11,15,16,16,12,9,18,14
"7142","K14048",45,55,153,81,77,75,301,160,218,259,267,147,161,172,151,110
"7143","K14051",982,911,1293,1210,1094,1279,2537,2019,2271,2245,1956,1785,1626,1865,1167,1401
"7144","K14052",938,930,1249,1295,1262,1358,1578,1481,2111,1690,1494,1537,1221,1699,924,995
"7145","K14054",510,438,596,412,376,1614,647,458,594,751,661,832,744,802,755,643
"7146","K14055",45,40,44,57,39,39,174,202,230,186,210,358,277,296,252,191
"7147","K14056",266,318,319,371,257,1041,440,389,396,335,383,472,379,427,521,399
"7148","K14057",64,63,185,66,89,354,325,253,219,229,267,64,84,84,62,56
"7149","K14058",2763,2193,2665,2565,2900,4390,3136,3020,2596,2993,2907,2452,2164,2256,2417,2173
"7150","K14059",2766,2451,3654,3304,11261,8073,6132,4446,4616,4718,5857,6205,6002,5904,5159,6589
"7151","K14060",741,759,1764,1087,2082,2589,2958,2461,3560,3248,3605,1307,1171,1743,1510,1529
"7152","K14061",172,176,59,185,192,90,42,66,71,76,74,76,69,69,73,83
"7153","K14063",20,15,30,14,10,5,161,137,195,215,228,49,58,58,43,44
"7154","K14066",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"7155","K14067",83,63,94,63,57,33,366,265,302,284,385,179,179,226,158,187
"7156","K14068",1056,1274,153,1174,1285,146,0,0,0,0,0,0,0,0,0,0
"7157","K14069",561,630,71,541,601,57,0,0,0,2,2,0,0,0,0,0
"7158","K14070",742,896,132,829,810,168,0,0,0,0,0,0,0,0,0,0
"7159","K14073",29,13,2,4,2,1,1,0,5,4,2,9,16,20,34,2
"7160","K14078",0,0,0,0,0,3,0,1,4,2,2,0,0,0,0,0
"7161","K14080",1226,1333,538,1375,1462,357,111,99,189,149,104,244,191,209,228,227
"7162","K14081",801,921,109,907,1074,133,2,2,4,5,2,19,7,13,17,25
"7163","K14082",454,507,104,482,390,79,0,0,0,0,0,57,48,11,2,25
"7164","K14083",2082,2596,1650,2541,2132,1212,3668,2790,4132,3782,4102,6933,5824,7427,4963,5931
"7165","K14084",589,641,166,555,608,122,61,56,58,24,30,527,499,545,379,489
"7166","K14086",1155,1122,654,1047,1794,4287,289,240,113,84,157,412,289,264,472,429
"7167","K14087",545,536,277,564,827,1893,147,113,64,49,84,197,143,132,224,202
"7168","K14088",889,924,343,1006,1218,1580,143,83,51,34,55,173,120,146,193,207
"7169","K14089",299,284,162,279,469,1060,78,71,12,19,14,78,65,63,108,92
"7170","K14090",700,765,458,788,1055,2490,208,192,126,92,178,172,187,172,340,212
"7171","K14091",227,284,196,322,459,1276,68,72,17,11,21,52,75,44,85,64
"7172","K14092",11,14,10,33,37,1,0,0,0,0,0,17,26,34,12,24
"7173","K14093",196,127,83,154,229,29,0,0,0,0,0,97,82,93,92,86
"7174","K14094",125,73,50,87,126,33,0,0,0,0,0,50,38,65,75,65
"7175","K14095",104,90,41,80,119,31,3,8,0,4,3,73,42,53,63,32
"7176","K14096",125,107,49,75,140,25,1,1,0,1,1,69,50,43,103,38
"7177","K14097",191,158,83,101,187,28,3,2,2,1,0,79,70,63,108,57
"7178","K14098",183,195,88,114,275,22,0,0,0,0,0,101,94,91,111,112
"7179","K14099",216,203,122,142,312,52,0,0,0,0,0,96,94,87,116,100
"7180","K14100",70,74,47,68,115,28,0,0,0,0,0,36,27,18,32,15
"7181","K14101",243,242,99,188,317,56,0,0,0,0,0,146,112,122,150,108
"7182","K14102",3,4,0,13,17,4,0,2,3,0,0,15,15,9,16,12
"7183","K14103",12,8,3,14,41,22,0,0,4,0,0,19,20,24,19,21
"7184","K14104",160,146,50,89,198,27,0,0,0,0,0,80,86,74,94,80
"7185","K14105",212,150,74,124,158,33,18,2,4,7,2,93,107,78,97,74
"7186","K14106",299,301,152,201,412,88,12,2,8,20,7,210,188,184,168,118
"7187","K14107",329,347,106,221,451,78,6,0,2,2,8,139,116,102,138,96
"7188","K14108",45,45,36,40,133,31,2,4,0,0,0,76,82,81,45,48
"7189","K14109",89,73,44,72,149,31,0,0,0,0,0,205,153,195,145,173
"7190","K14110",15,13,11,40,44,22,7,4,1,9,2,40,50,38,23,30
"7191","K14111",20,14,12,38,37,15,4,1,0,0,3,59,61,31,21,43
"7192","K14112",18,14,9,33,53,13,0,0,0,0,0,64,29,37,28,51
"7193","K14113",11,22,7,29,51,7,2,2,1,1,0,58,31,27,30,35
"7194","K14114",33,40,9,24,73,23,2,5,1,0,0,47,41,42,42,40
"7195","K14115",86,58,44,94,196,53,3,10,0,0,0,177,109,119,94,136
"7196","K14116",16,11,22,13,74,16,0,0,0,0,0,24,24,33,12,28
"7197","K14117",22,25,33,22,60,12,3,2,0,1,0,19,32,40,16,15
"7198","K14118",29,41,24,36,49,25,4,4,9,22,8,96,63,55,60,44
"7199","K14119",33,23,12,32,30,10,0,0,0,0,0,34,26,12,14,32
"7200","K14120",69,94,35,60,198,54,12,13,0,8,0,150,138,140,101,148
"7201","K14121",45,27,13,38,78,13,5,15,6,0,0,74,65,49,36,51
"7202","K14122",35,21,29,27,68,19,0,7,1,0,0,88,46,58,26,46
"7203","K14123",63,79,35,83,178,30,29,6,6,3,8,195,117,110,118,107
"7204","K14124",56,39,29,33,122,38,5,5,0,0,0,147,101,72,98,94
"7205","K14125",14,18,19,23,47,21,6,8,8,1,0,32,27,33,35,28
"7206","K14126",2850,2576,1292,2915,1096,1025,51,41,27,18,14,2140,1848,1893,1384,1866
"7207","K14127",1649,1615,915,1723,822,845,146,114,73,92,67,2698,2398,2428,2462,2324
"7208","K14128",1955,1800,1010,1917,871,695,94,77,69,62,46,1640,1392,1434,1167,1407
"7209","K14136",2759,2267,1955,2618,1241,1516,2387,1786,2079,1982,1980,3031,2705,2987,2199,2425
"7210","K14138",714,650,458,617,667,250,150,128,141,91,73,587,521,532,609,488
"7211","K14152",710,672,441,825,152,144,82,75,83,91,103,460,229,516,474,464
"7212","K14153",36,61,90,42,83,112,155,165,182,171,153,73,50,137,46,49
"7213","K14154",820,654,502,677,518,351,209,152,126,194,187,1185,1147,1063,1269,1057
"7214","K14155",7295,7087,6781,8598,8057,5068,4087,3120,2936,2887,2842,9047,6972,8174,7864,7975
"7215","K14156",17,16,29,23,33,30,133,153,192,143,173,29,30,39,27,20
"7216","K14157",1957,1615,707,2393,1250,323,481,526,450,629,660,1397,1044,1255,1061,1208
"7217","K14158",3,2,0,7,0,0,2,0,2,2,0,11,1,0,0,8
"7218","K14159",7,6,133,8,21,32,146,277,215,392,196,2,0,2,0,4
"7219","K14160",192,207,575,219,211,492,1383,1193,1457,1563,1710,576,394,595,434,368
"7220","K14161",1184,1042,2351,1411,1296,2176,4731,3967,4875,4824,4985,2542,2234,2788,1919,2166
"7221","K14162",7030,6297,8808,7598,5272,7098,15182,12265,14523,14956,15180,9749,8294,9877,7695,7837
"7222","K14164",4899,4363,2878,6044,1192,2207,564,569,703,558,409,3926,3830,3313,2759,3064
"7223","K14165",700,697,499,853,263,391,558,609,611,717,808,444,442,433,457,368
"7224","K14166",550,505,930,658,512,549,1359,1009,1334,1024,1117,1031,998,1121,654,818
"7225","K14168",620,708,166,600,695,118,16,11,10,9,6,726,628,594,688,763
"7226","K14170",2294,2314,2595,2279,2735,6154,3489,3049,2944,2988,2863,3448,2817,3133,3395,2746
"7227","K14171",1,2,8,4,0,2,37,45,52,59,64,41,36,36,24,26
"7228","K14187",29,36,42,26,38,41,210,192,182,201,189,645,500,552,659,459
"7229","K14188",24,43,85,32,42,74,218,165,172,258,217,85,60,87,64,73
"7230","K14189",35,37,271,35,108,183,537,466,469,572,620,158,107,108,111,91
"7231","K14191",0,5,8,12,1,4,2,2,11,9,13,111,87,104,98,108
"7232","K14192",0,6,23,9,2,1,2,2,2,1,0,0,2,1,0,10
"7233","K14194",8665,6357,4196,8652,1184,2657,6431,5008,6074,4551,4559,5657,6675,8030,5556,6082
"7234","K14196",8,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
"7235","K14205",1000,1019,511,1025,1102,450,1557,1418,1927,1820,1829,1338,1206,1263,1145,1052
"7236","K14207",0,3,5,0,2,1,0,0,0,0,0,0,0,0,0,0
"7237","K14210",4,2,17,0,6,10,4,0,3,6,2,5,6,25,0,10
"7238","K14213",0,3,0,2,0,2,6,0,0,0,0,0,0,0,0,0
"7239","K14215",226,195,253,322,239,272,286,278,442,304,271,381,330,487,268,258
"7240","K14250",562,494,555,604,320,465,750,694,866,849,788,851,772,864,936,738
"7241","K14251",1,8,6,6,8,8,58,66,104,63,88,59,55,55,32,26
"7242","K14252",12,15,6,16,9,8,107,78,99,130,121,36,33,52,47,31
"7243","K14253",255,221,319,316,270,424,611,509,743,646,547,472,435,650,382,358
"7244","K14257",21,15,44,15,38,43,315,337,303,344,299,41,49,26,34,29
"7245","K14258",0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
"7246","K14259",190,177,354,217,159,293,836,743,1067,996,933,393,416,443,334,343
"7247","K14260",1956,1774,2216,1918,1316,2274,3909,3603,3451,3662,3681,2655,2095,2482,2756,2242
"7248","K14261",958,1005,1194,1006,713,920,2588,2023,2134,2021,2208,1514,1359,1420,1214,1158
"7249","K14262",20,15,29,29,21,52,138,88,113,134,166,53,50,39,50,69
"7250","K14264",1,8,1,4,0,2,6,2,5,20,7,0,6,2,2,0
"7251","K14266",12,3,52,18,16,99,349,285,304,354,459,31,42,47,22,10
"7252","K14267",1228,1190,2516,1526,1435,2486,5060,3972,4663,4662,4741,2353,2107,2430,1775,1928
"7253","K14272",4,1,0,0,0,7,0,10,0,13,67,0,0,0,0,0
"7254","K14273",2297,2083,1881,2346,1137,1422,1733,1437,1914,1612,1654,2355,2005,2242,1583,1949
"7255","K14274",1992,1736,1724,2269,972,1282,1758,1461,2126,1757,1758,1842,1603,1967,1280,1511
"7256","K14275",7,3,14,16,6,20,72,84,63,66,53,116,119,140,118,120
"7257","K14286",893,729,1115,1037,875,1271,1798,1442,2148,1869,1610,1224,1209,1657,1124,1091
"7258","K14287",229,256,1012,211,312,1104,2394,2548,2177,2504,2535,640,604,619,698,461
"7259","K14290",2,19,24,33,14,34,4,10,9,0,0,16,1,0,0,0
"7260","K14291",10,4,18,14,22,23,124,144,285,164,80,63,48,73,24,12
"7261","K14292",374,448,52,391,372,63,62,60,91,43,66,27,15,20,9,0
"7262","K14293",0,2,10,10,0,4,0,0,2,6,13,0,0,0,0,0
"7263","K14297",0,2,3,1,4,10,2,4,9,8,4,3,2,4,6,10
"7264","K14298",2,0,6,0,147,14,17,10,10,2,8,8,28,15,2,10
"7265","K14300",0,0,7,0,2,104,15,6,29,8,3,102,90,96,110,174
"7266","K14312",4,10,34,23,8,16,0,0,6,0,0,5,8,2,0,4
"7267","K14320",0,0,7,2,0,6,0,8,0,1,5,0,0,0,0,0
"7268","K14324",0,11,5,1,2,1,2,4,0,0,0,0,0,0,0,0
"7269","K14325",5,3,9,2,0,0,77,93,85,87,80,13,8,15,12,13
