"","KO","S561toS566_AD.AD6","S1001_3_4_AD1_3_4","S1002_5_6_AD2_5_6","S1147_49_50_AD1_3_4","S1148_51_52_AD2_5_6","S1154_57_58_AD2_5_6","F5","F55","F110","F124","F179","S119.full","S370.full","S1273.ADFull","S1554.ADFull","S1813.ADFull"
"1805","K02422",1305,1257,1074,1220,2162,2061,1011,751,658,604,714,735,521,622,642,497
"1806","K02423",4,17,91,12,29,94,328,268,187,192,263,21,20,26,22,10
"1807","K02424",182,149,377,164,275,752,661,754,762,660,664,202,152,240,156,181
"1808","K02426",1477,1251,1200,1659,1126,898,1024,945,1113,1136,968,1923,1520,1760,1420,1575
"1809","K02427",1707,1668,1344,1838,1192,1168,1880,1894,1866,1984,2095,1689,1324,1469,1481,1321
"1810","K02428",8175,7613,7217,9587,8960,7325,6212,5329,5757,5766,5625,10121,8516,9697,8497,8856
"1811","K02429",3011,2782,2580,3280,2420,2048,1854,2054,1581,2182,1789,6250,4766,6300,5909,5571
"1812","K02430",28,30,30,21,50,11,24,24,18,24,13,40,14,52,31,20
"1813","K02431",336,343,396,431,314,507,423,372,526,517,527,817,667,1000,736,931
"1814","K02433",16096,14601,13830,16626,13901,13857,16309,14333,16171,16058,16662,18232,15902,17858,15873,15415
"1815","K02434",11597,10737,10537,12221,11640,11812,9697,8545,9422,9152,9453,13541,11685,12507,11866,11660
"1816","K02435",2686,2446,2398,2796,3178,2772,2320,2013,2194,2199,2228,2736,2402,2738,2539,2479
"1817","K02436",287,250,213,352,93,59,62,53,73,59,47,214,98,216,194,209
"1818","K02437",4109,3971,3529,4583,3590,2562,3040,2636,2937,2998,2850,5174,4576,4948,4701,4546
"1819","K02438",329,370,742,453,467,608,1756,1387,1532,1427,1554,675,603,707,509,559
"1820","K02439",268,208,235,258,84,244,324,327,345,371,399,145,105,156,132,97
"1821","K02440",1437,1174,1729,1449,1410,1278,1729,1432,1783,1722,1698,2037,1709,1907,1527,1542
"1822","K02441",751,597,427,640,314,475,286,254,190,248,197,663,647,781,759,691
"1823","K02442",2,2,4,2,2,8,0,0,0,0,0,0,3,1,0,4
"1824","K02443",553,581,584,579,1598,357,212,109,94,84,88,203,126,203,156,126
"1825","K02444",217,244,829,257,423,544,1369,1310,1489,1456,1567,622,528,640,510,544
"1826","K02445",899,1021,472,757,567,467,626,542,525,592,744,1394,1120,1422,1442,1263
"1827","K02446",2653,2847,2503,3021,2764,1917,1885,1203,1806,1695,1639,3003,2605,2902,2123,2311
"1828","K02448",598,559,1056,643,635,1487,3116,2820,3038,3018,3429,1146,968,1358,896,845
"1829","K02450",3984,3240,2420,3250,10098,3360,4386,3563,3054,3165,3690,6192,5344,5263,6294,5221
"1830","K02451",21,19,84,7,27,138,259,344,290,350,387,165,129,157,113,120
"1831","K02452",314,287,296,267,106,253,713,881,880,1343,1216,576,457,461,659,463
"1832","K02453",4871,4609,4555,4236,2864,4317,8757,7924,7942,8381,8771,12380,10929,12453,11678,10422
"1833","K02454",5244,3768,6605,3925,2677,5366,9345,8653,8526,9268,9704,6676,5692,6155,6101,5407
"1834","K02455",1345,1338,1773,1300,810,1713,3654,3620,3635,3703,4106,2982,2581,3051,3188,2489
"1835","K02456",12214,11363,8619,13534,16647,10307,8612,6454,7151,6891,6531,12756,10790,12213,10057,9526
"1836","K02457",312,291,428,256,183,448,801,821,791,1017,1001,349,367,424,408,370
"1837","K02458",356,368,376,257,101,456,811,1023,906,1103,1152,556,450,523,627,457
"1838","K02459",140,130,418,149,168,507,993,1290,1325,1480,1381,713,515,709,741,631
"1839","K02460",1160,1174,860,925,495,940,1809,2011,2054,2349,2264,1830,1603,2076,2074,1674
"1840","K02461",129,152,671,155,215,635,1540,1950,1983,2131,2129,383,259,349,358,255
"1841","K02462",69,123,310,114,117,305,725,872,877,930,919,224,154,186,208,149
"1842","K02463",28,70,302,45,103,284,772,923,962,955,1027,150,107,137,146,98
"1843","K02466",42,15,24,24,16,11,75,85,71,60,48,11,7,12,10,2
"1844","K02467",10,5,7,1,5,6,18,14,5,7,18,8,2,10,6,8
"1845","K02468",0,0,8,0,2,2,29,21,17,17,29,13,14,7,9,9
